Time,Source,Destination,Protocol,Length
1775492775.60478,192.168.31.42,224.0.0.22,2,62
1775492775.60478,192.168.31.42,224.0.0.22,2,62
1775492775.7848382,20.189.173.25,192.168.31.42,6,54
1775492775.783844,20.189.173.25,192.168.31.42,6,54
1775492777.3251069,192.168.31.42,20.189.173.25,6,167
1775492777.3251069,192.168.31.42,20.189.173.25,6,167
1775492777.3299348,192.168.31.42,20.189.173.25,6,1336
1775492777.330934,192.168.31.42,20.189.173.25,6,1336
1775492777.330934,192.168.31.42,20.189.173.25,6,1336
1775492777.3387914,192.168.31.42,20.189.173.25,6,1336
1775492777.3397906,192.168.31.42,20.189.173.25,6,1336
1775492777.3427904,192.168.31.42,20.189.173.25,6,1336
1775492777.3427904,192.168.31.42,20.189.173.25,6,1336
1775492777.347791,192.168.31.42,20.189.173.25,6,1336
1775492777.3527865,192.168.31.42,20.189.173.25,6,1336
1775492777.3527865,192.168.31.42,20.189.173.25,6,1336
1775492777.3577883,192.168.31.42,20.189.173.25,6,1336
1775492777.36181,192.168.31.42,20.189.173.25,6,1336
1775492777.36181,192.168.31.42,20.189.173.25,6,1336
1775492777.364786,192.168.31.42,20.189.173.25,6,1336
1775492777.3657856,192.168.31.42,20.189.173.25,6,1336
1775492777.368787,192.168.31.42,20.189.173.25,6,521
1775492777.368787,192.168.31.42,20.189.173.25,6,1336
1775492777.3733532,192.168.31.42,20.189.173.25,6,521
1775492777.5702157,20.189.173.25,192.168.31.42,6,54
1775492777.5702157,20.189.173.25,192.168.31.42,6,54
1775492777.5702157,20.189.173.25,192.168.31.42,6,54
1775492777.5702157,20.189.173.25,192.168.31.42,6,54
1775492777.5702157,20.189.173.25,192.168.31.42,6,54
1775492777.5702157,20.189.173.25,192.168.31.42,6,54
1775492777.5907097,20.189.173.25,192.168.31.42,6,89
1775492777.604778,216.24.57.251,192.168.31.42,6,82
1775492777.604778,216.24.57.251,192.168.31.42,6,82
1775492777.604778,192.168.31.42,216.24.57.251,6,86
1775492777.604778,192.168.31.42,216.24.57.251,6,86
1775492777.6232247,192.168.31.42,20.189.173.25,6,54
1775492777.6232247,192.168.31.42,20.189.173.25,6,54
1775492777.6492903,216.24.57.251,192.168.31.42,6,54
1775492777.8713448,20.189.173.25,192.168.31.42,6,150
1775492777.8723445,20.189.173.25,192.168.31.42,6,150
1775492777.9186823,192.168.31.42,20.189.173.25,6,54
1775492777.9196887,192.168.31.42,20.189.173.25,6,54
1775492778.22722,192.168.31.124,255.255.255.255,17,262
1775492778.22722,192.168.31.124,255.255.255.255,17,262
1775492779.2157776,192.168.31.42,192.168.31.1,17,72
1775492779.219227,192.168.31.42,192.168.31.1,17,72
1775492779.2214541,192.168.31.42,192.168.31.1,17,72
1775492779.2436905,192.168.31.42,192.168.31.1,17,72
1775492779.2214541,192.168.31.42,192.168.31.1,17,72
1775492779.261698,192.168.31.1,192.168.31.42,17,254
1775492779.2586968,192.168.31.42,192.168.31.1,17,72
1775492779.282222,192.168.31.1,192.168.31.42,17,333
1775492779.283221,192.168.31.1,192.168.31.42,17,254
1775492779.2992449,192.168.31.1,192.168.31.42,17,225
1775492779.3064222,192.168.31.1,192.168.31.42,17,333
1775492779.3158088,192.168.31.1,192.168.31.42,17,225
1775492779.4427183,192.168.31.42,20.189.173.25,6,173
1775492779.4417212,192.168.31.42,20.189.173.25,6,173
1775492779.4477189,192.168.31.42,20.189.173.25,6,1336
1775492779.4487202,192.168.31.42,20.189.173.25,6,1336
